First Name,Last Name,Action,Flight ID,Origin Airport,Destination Airport,Ticket Type,Ticket Quantity
Vanessa,Carson,Buy,174,ELP,HND,Business Class,6
Brittney,Daniel,Buy,1013,ATL,ELP,Main Cabin,7
Crystal,Hudson,Buy,413,MEX,CJS,First Class,5
Kenneth,Smith,Buy,919,ELP,ATL,First Class,1
John,Hill,Buy,1200,ELP,BOS,Main Cabin,4
Michael,Adams,Buy,701,CUN,ELP,Business Class,6
Austin,Griffin,Buy,849,LAS,ELP,First Class,2
Michael,Morton,Buy,1004,ELP,ORD,Main Cabin,3
Matthew,Erickson,Buy,779,LAX,ORL,Business Class,7
Amy,Parsons,Buy,885,YYZ,ELP,First Class,3
Alexis,Shea,Buy,415,ORL,LAX,First Class,1
Debra,Raymond,Buy,472,ATL,ELP,Main Cabin,7
Zachary,Campbell,Buy,520,CUN,ELP,First Class,7
Michael,Cowan,Buy,1122,ELP,LHR,Main Cabin,2
Antonio,Brooks,Buy,909,LAX,ELP,Main Cabin,6
Samantha,Thomas,Buy,636,ELP,LAX,First Class,4
John,Blevins,Buy,417,LAX,ORL,Business Class,4
John,Blair,Buy,359,HND,ELP,Main Cabin,8
Justin,Martinez,Buy,567,JFK,ELP,Main Cabin,5
Michelle,Jones,Buy,819,LAX,ELP,Business Class,7
Beth,Moss,Buy,1257,HND,ELP,Business Class,1
Ronald,Martinez,Buy,688,LAX,ORL,Main Cabin,4
Felicia,Carlson,Buy,42,ELP,LHR,First Class,3
Miranda,Walker,Buy,708,ELP,CDG,First Class,1
Allison,Cross,Buy,173,CDG,ELP,Business Class,4
Jessica,Fernandez,Buy,1038,CJS,MEX,Main Cabin,1
Stephen,Ellis,Buy,532,CDG,ELP,Main Cabin,6
Kyle,Taylor,Buy,1084,DFW,ELP,Business Class,1
Jeffrey,Sloan,Buy,276,ELP,LAX,Business Class,4
Robert,Park,Buy,397,ELP,LAS,Main Cabin,8
Linda,Bennett,Buy,111,ATL,ELP,Main Cabin,5
Melissa,Mcdonald,Buy,918,ELP,ATL,First Class,2
Allison,Chang,Buy,1286,ELP,JFK,Business Class,6
Miranda,Walker,Buy,408,CJS,MEX,Business Class,5
Andrea,Villagomez,Buy,1100,ELP,ATL,Business Class,2
Jeffrey,Gonzalez,Buy,931,ELP,BOS,Main Cabin,3
Andrew,Mcclure,Buy,190,LAX,ELP,Main Cabin,5
Beth,Moss,Buy,1309,CJS,MEX,Main Cabin,1
Chad,Clark,Buy,804,ELP,HND,Business Class,4
Victor,Lopez,Buy,829,ELP,ATL,Main Cabin,3
Kelly,Jordan,Buy,1238,ELP,CUN,First Class,8
Richard,Brown,Buy,1293,BOS,ELP,Main Cabin,7
Hunter,Moore,Buy,25,ELP,JFK,First Class,8
Donald,Duck,Buy,307,ELP,LAS,First Class,6
Colleen,Hall,Buy,887,YYZ,ELP,First Class,3
Randy,Keller,Buy,3,DFW,ELP,Main Cabin,8
Michael,Smith,Buy,351,CDG,ELP,Business Class,7
Linda,Robles,Buy,464,ELP,ORD,Main Cabin,1
Richard,Sullivan,Buy,968,ELP,CUN,Main Cabin,5
Mark,Ramos,Buy,54,ORL,LAX,Business Class,7
Richard,Brown,Buy,329,LAX,ORL,First Class,5
Thomas,Hall,Buy,894,ELP,HND,Main Cabin,8
Akinyemi,Akinjayeju,Buy,849,LAS,ELP,Main Cabin,6
Lisa,Robinson,Buy,550,LAX,ELP,Main Cabin,5
Jerry,Hampton,Buy,638,ELP,LAX,Business Class,1
Ann,Miller,Buy,1242,ELP,YYZ,Business Class,5
Derek,Irwin,Buy,286,ORD,ELP,Main Cabin,3
John,Hill,Buy,763,ELP,LHR,Business Class,1
Keith,Ortiz,Buy,70,CUN,ELP,Main Cabin,8
Wesley,Lambert,Buy,1131,MEX,CJS,First Class,2
Melissa,Johnson,Buy,150,BOS,LAX,Main Cabin,3
Brian,Jensen,Buy,1204,BOS,ELP,Business Class,6
Robert,Park,Buy,503,MEX,CJS,Business Class,4
Erik,Case,Buy,503,MEX,CJS,Business Class,4
Michelle,Ramirez,Buy,362,ELP,DFW,Business Class,1
Laurie,Johnson,Buy,29,JFK,ELP,Main Cabin,5
Ernest,Bentley,Buy,1327,ELP,CUN,Business Class,5
Melissa,Mccormick,Buy,1033,ELP,LHR,Business Class,5
David,Summers,Buy,1092,ELP,ORD,First Class,4
William,Ortiz,Buy,309,LAS,ELP,First Class,8
Steven,Cabrera,Buy,175,ELP,HND,Main Cabin,1
Amy,Rodriguez,Buy,1210,LAS,ELP,Business Class,4
Paul,Fisher,Buy,1167,HND,ELP,Main Cabin,5
Barbara,Robertson,Buy,502,MEX,CJS,Business Class,7
Dylan,Harris,Buy,636,ELP,LAX,Main Cabin,5
Ricardo,Rodriguez,Buy,591,MEX,CJS,First Class,6
Nancy,Robles,Buy,1093,ELP,ORD,First Class,8
Tonya,Elliott,Buy,1192,ATL,ELP,First Class,3
Tanya,Johnson,Buy,646,ORD,ELP,Main Cabin,3
Jason,Clark,Buy,408,CJS,MEX,First Class,1
Michelle,Maldonado,Buy,589,CJS,MEX,Business Class,5
Matthew,Perez,Buy,417,LAX,ORL,First Class,2
Andrew,Torres,Buy,1,ELP,DFW,Main Cabin,1
Jeffrey,Rodriguez,Buy,1216,LHR,ELP,Business Class,6
Dakota,Bender,Buy,739,ELP,ATL,Main Cabin,5
Ronald,Parker,Buy,1216,LHR,ELP,First Class,7
Joseph,Davis,Buy,685,ORL,LAX,Business Class,5
Michaela,Miranda,Buy,945,LHR,ELP,Business Class,8
Philip,Zamora,Buy,641,LAX,ELP,First Class,3
Bobby,Bennett,Buy,1025,BOS,ELP,Main Cabin,1
Molly,Cohen,Buy,700,CUN,ELP,Main Cabin,2
Christopher,Berry,Buy,770,CJS,MEX,First Class,3
Mayra,Robles,Buy,43,ELP,LHR,First Class,4
Kimberly,Harris,Buy,40,LAS,ELP,Business Class,5
Ashley,Wilcox,Buy,934,BOS,ELP,First Class,5
Angela,Mcintyre,Buy,606,ELP,CUN,First Class,5
Shane,Arnold,Buy,509,LAX,ORL,First Class,4
Angela,Mcintyre,Buy,865,ORL,LAX,Business Class,7
Jessica,Smith,Buy,136,LHR,ELP,First Class,1
Stacey,Paul,Buy,1073,CDG,ELP,Business Class,4
Denise,Morales,Buy,432,ELP,YYZ,Business Class,1
Julie,Shaw,Buy,142,MEX,CJS,First Class,8
Sandra,Newton,Buy,244,LAX,BOS,First Class,3
Martin,Edwards,Buy,467,ORD,ELP,First Class,2
Gabriel,Hansen,Buy,731,LAX,ELP,Main Cabin,5
Howard,Davenport,Buy,1164,ELP,HND,Business Class,1
Joshua,Gomez,Buy,1154,ELP,YYZ,Business Class,5
Garab,Dorji,Buy,916,ORD,ELP,Business Class,3
Tonya,Elliott,Buy,328,LAX,ORL,Business Class,3
Hector,Whitney,Buy,914,ELP,ORD,Main Cabin,7
Ashley,Gilmore,Buy,451,ELP,DFW,Main Cabin,7
Ariana,Lara,Buy,92,ELP,DFW,First Class,6
Jennifer,Schultz,Buy,973,ELP,YYZ,Main Cabin,6
Ronald,Parker,Buy,790,CUN,ELP,Business Class,5
Sharon,Gillespie,Buy,121,ELP,BOS,Main Cabin,4
Christopher,Davis,Buy,197,ORD,ELP,Business Class,8
Geoff,Waller,Buy,504,ORL,LAX,First Class,3
Jamie,Brown,Buy,1205,BOS,ELP,Main Cabin,6
Kimberly,Johnson,Buy,686,ORL,LAX,Main Cabin,6
Brian,Gates,Buy,1168,HND,ELP,Main Cabin,2
Tyler,Evans,Buy,835,ELP,JFK,Main Cabin,4
David,Mills,Buy,977,YYZ,ELP,First Class,3
Victoria,Moses,Buy,969,CUN,ELP,Business Class,8
Vanessa,Carson,Buy,350,ELP,CDG,First Class,1
Michael,King,Buy,345,YYZ,ELP,First Class,7
Amy,Mcpherson,Buy,841,ELP,BOS,Business Class,4
Heather,Robbins,Buy,124,BOS,ELP,Main Cabin,6
Olivia,Richardson,Buy,682,MEX,CJS,First Class,6
Howard,Davenport,Buy,994,DFW,ELP,First Class,8
Joshua,Meadows,Buy,947,LHR,ELP,First Class,6
Paul,Harmon,Buy,1249,ELP,CDG,Business Class,2
Michael,Santoyo,Buy,1062,ELP,YYZ,Business Class,3
Megan,Smith,Buy,1181,LAX,ELP,First Class,3
Kevin,Tran,Buy,1139,LAX,ORL,First Class,3
Lisa,Peters,Buy,1070,ELP,CDG,Main Cabin,8
Stephanie,Mcdonald,Buy,623,CDG,ELP,First Class,4
Shawn,Santos,Buy,641,LAX,ELP,Business Class,5
Samuel,RamosSanchez,Buy,615,YYZ,ELP,Main Cabin,7
Nicholas,Anderson,Buy,103,ELP,ORD,Business Class,2
Jason,Clark,Buy,28,JFK,ELP,Business Class,2
Christopher,Raymond,Buy,519,CUN,ELP,First Class,2
Alyssa,Reese,Buy,361,ELP,DFW,Business Class,6
James,King,Buy,234,ORL,LAX,Main Cabin,1
Sariyah,Russell,Buy,485,BOS,ELP,Main Cabin,5
David,Clark,Buy,648,ELP,ATL,Main Cabin,3
Ronald,Martinez,Buy,933,BOS,ELP,Business Class,5
Ryan,Wilkins,Buy,1184,ELP,ORD,Business Class,2
Lawrence,Henry,Buy,1134,ORL,LAX,Business Class,8
Sandra,Rogers,Buy,101,LAX,ELP,Main Cabin,3
Wendy,Montoya,Buy,298,JFK,ELP,First Class,8
Bruce,Clark,Buy,589,CJS,MEX,Business Class,2
Jamie,Hernandez,Buy,898,HND,ELP,Main Cabin,4
Wendy,Campos,Buy,332,BOS,LAX,First Class,8
Michelle,Maynard,Buy,525,YYZ,ELP,First Class,6
Ronald,Bond,Buy,1063,ELP,YYZ,Business Class,6
Wendy,Phillips,Buy,50,CJS,MEX,Main Cabin,3
Jeremy,Foster,Buy,810,ELP,DFW,Main Cabin,4
George,Wood,Buy,1045,ORL,LAX,Business Class,6
Thomas,Bonilla,Buy,626,ELP,HND,Business Class,3
Michael,Cowan,Buy,854,ELP,LHR,Business Class,6
Jade,Crawford,Buy,1291,ELP,BOS,Main Cabin,1
Derek,Lopez,Buy,751,ELP,BOS,First Class,2
James,Watson,Buy,918,ELP,ATL,Main Cabin,4
Erin,Mejia,Buy,1178,ELP,LAX,First Class,4
Jeffrey,Best,Buy,614,ELP,YYZ,First Class,8
Christian,Smith,Buy,169,ELP,CDG,Business Class,6
Julia,Jones,Buy,132,ELP,LHR,First Class,8
Kevin,Tran,Buy,663,BOS,ELP,Main Cabin,5
Aladdin,Disney,Buy,801,CDG,ELP,First Class,4
Amber,Sellers,Buy,319,CJS,MEX,Main Cabin,3
Nicole,Hart,Buy,1018,JFK,ELP,Business Class,1
Christopher,Raymond,Buy,1222,MEX,CJS,Main Cabin,2
Jason,Lee,Buy,932,ELP,BOS,Main Cabin,7
Dylan,Harris,Buy,302,ELP,BOS,First Class,1
Jessica,Anderson,Buy,921,ATL,ELP,Main Cabin,8
Shirley,Foster,Buy,1203,BOS,ELP,Main Cabin,3
John,Hill,Buy,371,LAX,ELP,Main Cabin,2
Crystal,Hayes,Buy,1022,ELP,BOS,Business Class,7
Denise,Morales,Buy,936,ELP,LAS,Main Cabin,6
William,Evans,Buy,71,CUN,ELP,First Class,2
Jeffrey,Marquez,Buy,1208,ELP,LAS,Business Class,2
Anna,Gutierrez,Buy,884,ELP,YYZ,Business Class,1
Tanya,Davis,Buy,1141,BOS,LAX,Main Cabin,6
Gabriel,Hansen,Buy,804,ELP,HND,Business Class,5
Daniel,Olson,Buy,1163,CDG,ELP,First Class,8
Tyler,Evans,Buy,329,LAX,ORL,First Class,6
Michael,Moran,Buy,109,ELP,ATL,First Class,7
Sarah,Mosley,Buy,1222,MEX,CJS,Main Cabin,7
Brett,Higgins,Buy,556,ORD,ELP,Business Class,7
Diana,Matthews,Buy,1039,CJS,MEX,Main Cabin,8
Michelle,Pruitt,Buy,727,ELP,LAX,First Class,3
Robert,Kennedy,Buy,567,JFK,ELP,First Class,8
Tanya,Kent,Buy,1082,ELP,DFW,Business Class,4
Megan,Smith,Buy,495,LHR,ELP,First Class,6
Jerry,Curtis,Buy,74,ELP,YYZ,First Class,8
Stephanie,Mcdonald,Buy,411,MEX,CJS,Main Cabin,8
Goofy,Disney,Buy,1105,ELP,JFK,First Class,6
Timothy,Bernard,Buy,84,ELP,HND,First Class,8
Amy,Rodriguez,Buy,431,CUN,ELP,Main Cabin,6
Jeffrey,Gonzalez,Buy,580,LAS,ELP,Main Cabin,3
Kevin,Harrison,Buy,312,ELP,LHR,Business Class,1
Ana,Andrade,Buy,472,ATL,ELP,Main Cabin,2
Jake,Mitchell,Buy,306,ELP,LAS,Business Class,3
William,Hunter,Buy,202,ATL,ELP,Main Cabin,8
Marcia,Snyder,Buy,874,LAX,BOS,Business Class,4
Alexander,Cameron,Buy,1078,HND,ELP,Business Class,2
Bryan,Wise,Buy,1200,ELP,BOS,First Class,5
Elizabeth,Castillo,Buy,510,BOS,LAX,First Class,8
Beast,Disney,Buy,433,ELP,YYZ,Business Class,3
Andrew,Hall,Buy,304,BOS,ELP,First Class,7
Anthony,Brooks,Buy,1128,CJS,MEX,Main Cabin,8
Daniel,Olson,Buy,634,DFW,ELP,First Class,4
Linda,Rodriguez,Buy,484,BOS,ELP,Main Cabin,1
Ashley,Jones,Buy,1219,CJS,MEX,First Class,4
Lori,Livingston,Buy,1188,ELP,ATL,Main Cabin,3
Mark,Washington,Buy,540,ELP,DFW,First Class,4
Michelle,Maldonado,Buy,1182,ELP,ORD,First Class,7
Melissa,Evans,Buy,457,ELP,LAX,Main Cabin,7
Carlos,Lynch,Buy,225,LHR,ELP,Main Cabin,7
Margaret,Smith,Buy,1002,ELP,ORD,Main Cabin,7
David,Thomas,Buy,762,ELP,LHR,Main Cabin,3
Marissa,Oconnell,Buy,110,ELP,ATL,First Class,5
Angela,English,Buy,1202,ELP,BOS,First Class,4
Robert,Wu,Buy,1288,JFK,ELP,Main Cabin,4
Michael,Prince,Buy,252,ELP,YYZ,Main Cabin,3
Maria,Young,Buy,137,LHR,ELP,Business Class,3
Elizabeth,Jackson,Buy,274,DFW,ELP,Main Cabin,4
Michael,Santoyo,Buy,618,ELP,CDG,Business Class,5
Lisa,Peters,Buy,681,MEX,CJS,Main Cabin,5
Timothy,Greene,Buy,275,DFW,ELP,Main Cabin,7
Margaret,Smith,Buy,1042,MEX,CJS,First Class,5
Kenneth,Smith,Buy,26,ELP,JFK,Main Cabin,8
Christopher,Raymond,Buy,166,YYZ,ELP,First Class,5
Geoff,Waller,Buy,1349,HND,ELP,Business Class,4
Mark,Lamb,Buy,735,ORD,ELP,Main Cabin,2
Angela,Mcintyre,Buy,1265,DFW,ELP,First Class,5
Jerry,Smith,Buy,1036,LHR,ELP,Main Cabin,6
Joshua,Gomez,Buy,1258,HND,ELP,Main Cabin,7
Jessica,Moore,Buy,219,LAS,ELP,Business Class,3
Karla,Johnson,Buy,713,CDG,ELP,Business Class,5
Mary,Anderson,Buy,654,ELP,JFK,First Class,3
Ronald,Bond,Buy,1140,BOS,LAX,Business Class,3
Joanna,Trevino,Buy,765,LHR,ELP,First Class,8
April,Lopez,Buy,546,ELP,LAX,Main Cabin,2
Alexander,Carter,Buy,360,ELP,DFW,First Class,7
Sarah,Anderson,Buy,818,ELP,LAX,Main Cabin,8
Timothy,Romero,Buy,371,LAX,ELP,First Class,3
Matthew,Gonzalez,Buy,92,ELP,DFW,First Class,7
Christopher,Osborne,Buy,813,DFW,ELP,Main Cabin,1
Andrew,Garcia,Buy,381,ATL,ELP,Main Cabin,2
Ian,Islas,Buy,1121,LAS,ELP,Main Cabin,8
Cruella,De Vil,Buy,397,ELP,LAS,Business Class,1
Tanya,Davis,Buy,620,ELP,CDG,First Class,1
Thomas,Clark,Buy,492,ELP,LHR,Business Class,7
Samuel,Burton,Buy,1261,ELP,DFW,Business Class,5
Becky,Simpson,Buy,1105,ELP,JFK,First Class,2
Quasimodo,Disney,Buy,247,ELP,CUN,Main Cabin,3
Peggy,Murphy,Buy,733,ELP,ORD,Main Cabin,4
Donna,Allen,Buy,1005,ORD,ELP,First Class,3
Miguel,Lucero,Buy,1118,ELP,LAS,Business Class,3
Julian,Gutierrez,Buy,1116,ELP,LAS,Main Cabin,3
Maria,Kelly,Buy,718,HND,ELP,First Class,4
Akinyemi,Akinjayeju,Buy,1163,CDG,ELP,First Class,4
David,Mills,Buy,1009,ELP,ATL,Main Cabin,8
Holly,Davidson,Buy,553,ELP,ORD,First Class,7
Brittany,Nielsen,Buy,609,CUN,ELP,First Class,8
Jonathan,Martinez,Buy,644,ELP,ORD,Business Class,6
Shelly,Jones,Buy,1120,LAS,ELP,Business Class,7
Cody,Scott,Buy,800,ELP,CDG,First Class,4
Olivia,Richardson,Buy,333,LAX,BOS,First Class,1
Kristen,Martinez,Buy,285,ORD,ELP,Business Class,6
James,Simmons,Buy,66,ELP,CUN,First Class,4
Christopher,Johnson,Buy,392,ELP,BOS,First Class,8
Elizabeth,Rodriguez,Buy,914,ELP,ORD,Business Class,7
Gail,Parker,Buy,155,LAX,BOS,First Class,7
Robert,Davis,Buy,1064,ELP,YYZ,Main Cabin,6
Christopher,Fields,Buy,943,ELP,LHR,First Class,4
Christopher,Osborne,Buy,456,ELP,LAX,First Class,7
Jill,Henderson,Buy,480,ELP,BOS,First Class,4
Michael,White,Buy,1130,CJS,MEX,Main Cabin,5
Theresa,Clark,Buy,347,YYZ,ELP,Business Class,2
Dennis,Reynolds,Buy,329,LAX,ORL,Business Class,5
Kimberly,Johnson,Buy,101,LAX,ELP,Business Class,4
Nancy,Robles,Buy,244,LAX,BOS,Main Cabin,8
Ashley,Romero,Buy,39,LAS,ELP,First Class,6
Kenneth,Smith,Buy,619,ELP,CDG,First Class,8
Eric,Vazquez,Buy,1245,YYZ,ELP,Business Class,4
Aladdin,Disney,Buy,126,ELP,LAS,Business Class,6
Jeffrey,Weiss,Buy,18,ELP,ATL,Main Cabin,2
Debra,Blackwell,Buy,378,ELP,ATL,Business Class,2
Alexis,Acosta,Buy,1037,LHR,ELP,First Class,6
Jermaine,Dean,Buy,49,CJS,MEX,Business Class,4
Samantha,Cooper,Buy,1188,ELP,ATL,First Class,5
Jacob,Norton,Buy,630,ELP,DFW,First Class,1
Michael,Castillo,Buy,114,ELP,JFK,First Class,5
Kimberly,Roberts,Buy,1148,ELP,CUN,Main Cabin,6
Ryan,Sullivan,Buy,854,ELP,LHR,First Class,4
Melissa,Rivera,Buy,36,ELP,LAS,First Class,5
Richard,Sullivan,Buy,687,LAX,ORL,Main Cabin,2
Zachary,Tran,Buy,1020,ELP,BOS,Main Cabin,6
Zachary,Ellison,Buy,934,BOS,ELP,Business Class,6
Seth,Rodriguez,Buy,67,ELP,CUN,Business Class,3
Mary,Lee,Buy,115,ELP,JFK,Business Class,4
Alison,Hicks,Buy,868,LAX,ORL,Main Cabin,1
Dana,Williams,Buy,1229,LAX,ORL,Main Cabin,4
Bella,Quintero,Buy,123,BOS,ELP,Business Class,8
Travis,Mcdonald,Buy,909,LAX,ELP,Main Cabin,6
Ray,Booth,Buy,239,LAX,ORL,Main Cabin,7
Kim,Contreras,Buy,18,ELP,ATL,Business Class,5
Alexander,Cameron,Buy,822,ELP,ORD,First Class,3
William,Evans,Buy,52,MEX,CJS,First Class,4
Edward,Johnson,Buy,260,ELP,CDG,Main Cabin,3
Anthony,Brooks,Buy,1293,BOS,ELP,First Class,8
April,Lopez,Buy,1283,ATL,ELP,Business Class,7
Jerry,Gamble,Buy,156,ELP,CUN,Main Cabin,4
Christopher,Robinson,Buy,1206,ELP,LAS,Main Cabin,4
Kyle,Hodges,Buy,985,ELP,HND,First Class,1
Daniel,Olson,Buy,526,YYZ,ELP,First Class,1
Benjamin,Johnson,Buy,1286,ELP,JFK,Main Cabin,8
Erik,Case,Buy,480,ELP,BOS,Business Class,3
Patricia,Mcdonald,Buy,72,ELP,YYZ,Business Class,3
Erin,Jones,Buy,961,BOS,LAX,Business Class,8
Beverly,Johnson,Buy,1113,BOS,ELP,Business Class,4
Monica,Sullivan,Buy,1110,ELP,BOS,Business Class,4
Anthony,Carson,Buy,725,DFW,ELP,Main Cabin,3
Mercedes,Nichols,Buy,1158,ELP,CDG,Main Cabin,8
Brendan,Phillips,Buy,35,BOS,ELP,First Class,4
Ariel,Disney,Buy,422,BOS,LAX,First Class,6
Bryan,Hardy,Buy,999,LAX,ELP,Business Class,5
Christina,Jones,Buy,148,LAX,ORL,First Class,5
Victor,Lopez,Buy,1132,MEX,CJS,Main Cabin,3
Brandy,Wilkerson,Buy,26,ELP,JFK,Main Cabin,5
Teresa,Taylor,Buy,897,HND,ELP,Main Cabin,7
David,Davila,Buy,449,HND,ELP,Main Cabin,5
James,Hammond,Buy,238,LAX,ORL,Business Class,6
Megan,Thompson,Buy,18,ELP,ATL,First Class,3
Ana,Andrade,Buy,237,LAX,ORL,Business Class,1
Nicole,Harvey,Buy,1033,ELP,LHR,Main Cabin,4
Curtis,Phillips,Buy,545,DFW,ELP,First Class,2
Adam,Bass,Buy,1009,ELP,ATL,Business Class,6
Alexis,Shea,Buy,1143,LAX,BOS,Main Cabin,4
Emma,Armstrong,Buy,1166,ELP,HND,Business Class,3
Joel,Welch,Buy,1121,LAS,ELP,Main Cabin,7
Kristina,Patrick,Buy,1167,HND,ELP,Main Cabin,8
Brittany,Weaver,Buy,985,ELP,HND,Main Cabin,2
Victoria,Moses,Buy,935,BOS,ELP,First Class,3
Samuel,RamosSanchez,Buy,521,CUN,ELP,First Class,8
Michael,Moran,Buy,1076,ELP,HND,Business Class,1
Christopher,Raymond,Buy,744,ELP,JFK,Main Cabin,2
Crystal,Rice,Buy,495,LHR,ELP,First Class,8
James,Simpson,Buy,1295,BOS,ELP,Main Cabin,2
Mufassa,Disney,Buy,917,ORD,ELP,Main Cabin,7
Linda,Bennett,Buy,1126,LHR,ELP,First Class,1
Robert,Davis,Buy,66,ELP,CUN,Main Cabin,7
