Username,ID,Money Available,Role,Password,First Name,DOB,Flights Purchased,MinerAirlines Membership,Last Name
seanhull,406,4768.03,Employee,Fun!23,Sean,8/31/08,0,TRUE,Hull
christopherunderwood,735,9269.37,Employee,Fun!23,Christopher,9/18/08,0,FALSE,Underwood
jenniferpreston,983,4412.19,Employee,Fun!23,Jennifer,11/26/08,0,FALSE,Preston
angelbarber,495,4573.92,Employee,Fun!23,Angel,12/5/08,0,TRUE,Barber
craigfleming,832,12180.7,Employee,Fun!23,Craig,3/3/09,0,TRUE,Fleming
tanyakent,394,10311.63,Employee,Fun!23,Tanya,4/11/09,0,TRUE,Kent
lisabrown,353,10815.25,Employee,Fun!23,Lisa,5/29/09,0,TRUE,Brown
ianrybak,77,4027.63,Employee,Fun!23,Ian,7/28/09,0,FALSE,Rybak
krystalthompson,397,4713.24,Employee,Fun!23,Krystal,8/24/09,0,FALSE,Thompson
emmapadilla,431,14420,Employee,Fun!23,Emma,9/8/09,0,FALSE,Padilla
isabellagaytan,40,9753.18,Employee,Fun!23,Isabella,10/9/09,0,TRUE,Gaytan
rebeccabrown,436,11409.56,Employee,Fun!23,Rebecca,11/19/09,0,FALSE,Brown
tanyadavis,272,11584.88,Employee,Fun!23,Tanya,11/30/09,0,FALSE,Davis
edwardmolina,611,10414.86,Employee,Fun!23,Edward,12/20/09,0,FALSE,Molina
darleneshaw,496,13364.16,Employee,Fun!23,Darlene,1/26/10,0,FALSE,Shaw
jasonclark,677,5799.56,Employee,Fun!23,Jason,2/11/10,0,TRUE,Clark
dereklopez,631,11344.7,Employee,Fun!23,Derek,3/21/10,0,TRUE,Lopez
hannahmaldonado,507,4646.32,Employee,Fun!23,Hannah,5/25/10,0,FALSE,Maldonado
ericaharrison,102,12441.5,Employee,Fun!23,Erica,6/18/10,0,FALSE,Harrison
mistyjimenez,570,13249.93,Employee,Fun!23,Misty,8/24/10,0,TRUE,Jimenez
robertpreston,104,11193.69,Employee,Fun!23,Robert,9/25/10,0,TRUE,Preston
kevinlarson,462,9528.52,Employee,Fun!23,Kevin,11/3/10,0,FALSE,Larson
ethanholmes,203,2511.64,Employee,Fun!23,Ethan,12/4/10,0,FALSE,Holmes
mariamitchell,298,4087,Employee,Fun!23,Maria,3/6/11,0,TRUE,Mitchell
robertpark,225,11330.93,Employee,Fun!23,Robert,6/5/11,0,TRUE,Park
stevenhartman,661,8106.76,Employee,Fun!23,Steven,6/19/11,0,TRUE,Hartman
crystalrice,465,6443.27,Employee,Fun!23,Crystal,10/5/11,0,TRUE,Rice
victoriaellis,909,12204.76,Employee,Fun!23,Victoria,10/21/11,0,FALSE,Ellis
douglasmckay,972,10180.97,Employee,Fun!23,Douglas,11/6/11,0,TRUE,Mckay
shannonholden,178,8125.55,Employee,Fun!23,Shannon,1/19/12,0,TRUE,Holden
karenzhang,265,10686.23,Employee,Fun!23,Karen,2/26/12,0,TRUE,Zhang
cassandracook,581,6823.96,Employee,Fun!23,Cassandra,6/27/12,0,TRUE,Cook
christopherlucero,864,10302.16,Employee,Fun!23,Christopher,7/3/12,0,TRUE,Lucero
kennethboyd,878,4746.76,Employee,Fun!23,Kenneth,9/16/12,0,TRUE,Boyd
susandavis,295,9520.93,Employee,Fun!23,Susan,10/5/12,0,TRUE,Davis
davidgross,247,7817.63,Employee,Fun!23,David,12/1/12,0,FALSE,Gross
nicolelloyd,852,6008.18,Employee,Fun!23,Nicole,12/2/12,0,FALSE,Lloyd
christinavaltierra,84,13817.91,Employee,Fun!23,Christina,12/15/12,0,FALSE,Valtierra
howarddavenport,752,9331.85,Employee,Fun!23,Howard,1/5/13,0,TRUE,Davenport
danamiller,842,13475.2,Employee,Fun!23,Dana,2/27/13,0,TRUE,Miller
shannonbennett,274,9289.35,Employee,Fun!23,Shannon,3/18/13,0,TRUE,Bennett
tammywaters,971,14426.84,Employee,Fun!23,Tammy,3/23/13,0,FALSE,Waters
brittanyray,229,13718.3,Employee,Fun!23,Brittany,4/10/13,0,FALSE,Ray
stevenowens,488,12865.75,Employee,Fun!23,Steven,6/28/13,0,FALSE,Owens
christopherberry,963,11750.51,Employee,Fun!23,Christopher,6/29/13,0,FALSE,Berry
elizabethcastillo,806,4725.51,Employee,Fun!23,Elizabeth,7/15/13,0,FALSE,Castillo
christinawheeler,348,2295.91,Employee,Fun!23,Christina,8/27/13,0,TRUE,Wheeler
aprillopez,915,11394.97,Employee,Fun!23,April,9/22/13,0,TRUE,Lopez
wendystanton,468,7846.66,Employee,Fun!23,Wendy,9/28/13,0,TRUE,Stanton
alejandramorris,250,10529.39,Employee,Fun!23,Alejandra,10/3/13,0,FALSE,Morris
johnblevins,692,5248.05,Employee,Fun!23,John,10/25/13,0,TRUE,Blevins
josephdavis,887,14785.5,Employee,Fun!23,Joseph,12/28/13,0,FALSE,Davis
lorettaphillips,654,2951.7,Employee,Fun!23,Loretta,6/21/14,0,FALSE,Phillips
michaelsmith,181,14063.32,Employee,Fun!23,Michael,6/27/14,0,TRUE,Smith
sariyahrussell,76,3201.11,Employee,Fun!23,Sariyah,7/23/14,0,FALSE,Russell
jamieconner,518,10170.73,Employee,Fun!23,Jamie,9/5/14,0,FALSE,Conner
jasonburke,160,13327.94,Employee,Fun!23,Jason,12/19/14,0,TRUE,Burke
jeffreybest,697,2464.7,Employee,Fun!23,Jeffrey,3/8/15,0,TRUE,Best
michaelwilliamson,833,4949.66,Employee,Fun!23,Michael,5/3/15,0,FALSE,Williamson
melissamccormick,105,13599.53,Employee,Fun!23,Melissa,6/15/15,0,TRUE,Mccormick
hollycruz,730,8843.47,Employee,Fun!23,Holly,7/4/15,0,FALSE,Cruz
anthonybrooks,594,4171.79,Employee,Fun!23,Anthony,7/26/15,0,FALSE,Brooks
juliangutierrez,484,2026.42,Employee,Fun!23,Julian,8/10/15,0,FALSE,Gutierrez
belledisney,21,8473.53,Customer,Fun!23,Belle,10/13/15,0,FALSE,Disney
williamortiz,676,6264.09,Employee,Fun!23,William,10/18/15,0,TRUE,Ortiz
danielledorsey,506,6709.54,Employee,Fun!23,Danielle,1/11/16,0,TRUE,Dorsey
kevinharrison,858,8452.33,Employee,Fun!23,Kevin,2/6/16,0,TRUE,Harrison
nicholasjackson,670,13163.92,Employee,Fun!23,Nicholas,3/3/16,0,TRUE,Jackson
melissamcdonald,652,12836.69,Employee,Fun!23,Melissa,3/8/16,0,FALSE,Mcdonald
jeffreyluna,296,6808.21,Employee,Fun!23,Jeffrey,3/30/16,0,FALSE,Luna
richardsullivan,767,10680.67,Employee,Fun!23,Richard,5/21/16,0,FALSE,Sullivan
antoniobrooks,361,5880.07,Employee,Fun!23,Antonio,5/25/16,0,FALSE,Brooks
dorothycox,245,4654.17,Employee,Fun!23,Dorothy,7/1/16,0,TRUE,Cox
monicacraig,747,9054.41,Employee,Fun!23,Monica,8/31/16,0,FALSE,Craig
garymckenzie,921,14289.44,Employee,Fun!23,Gary,9/3/16,0,FALSE,Mckenzie
seanmedina,142,3110.38,Employee,Fun!23,Sean,9/4/16,0,TRUE,Medina
michaelthomas,777,7626.74,Employee,Fun!23,Michael,9/8/16,0,TRUE,Thomas
danielromero,284,6206.15,Employee,Fun!23,Daniel,12/27/16,0,TRUE,Romero
dorismoore,422,8779.28,Employee,Fun!23,Doris,1/3/17,0,TRUE,Moore
mariakelly,1025,8584.64,Employee,Fun!23,Maria,2/15/17,0,TRUE,Kelly
justindavis,501,5937.48,Employee,Fun!23,Justin,2/20/17,0,TRUE,Davis
donaldduck,2,11582.71,Customer,Fun!23,Donald,3/21/17,0,TRUE,Duck
brittanyweaver,556,12829.88,Employee,Fun!23,Brittany,4/13/17,0,TRUE,Weaver
bruceclark,500,8986.5,Employee,Fun!23,Bruce,5/11/17,0,FALSE,Clark
timothywagner,1026,8005.23,Employee,Fun!23,Timothy,6/5/17,0,TRUE,Wagner
michaelmartinez,540,13615,Employee,Fun!23,Michael,10/15/17,0,TRUE,Martinez
anthonymoore,660,5910.57,Employee,Fun!23,Anthony,10/16/17,0,FALSE,Moore
keithellis,395,6711.7,Employee,Fun!23,Keith,11/3/17,0,FALSE,Ellis
teresastewart,712,2105.25,Employee,Fun!23,Teresa,12/12/17,0,TRUE,Stewart
danielolson,98,4290.23,Employee,Fun!23,Daniel,12/21/17,0,TRUE,Olson
markbutler,1021,11675.92,Employee,Fun!23,Mark,1/12/18,0,FALSE,Butler
brettwallace,881,2399.1,Employee,Fun!23,Brett,1/16/18,0,FALSE,Wallace
enriquerico,67,3597.56,Employee,Fun!23,Enrique,3/26/18,0,FALSE,Rico
lisastafford,377,9694.42,Employee,Fun!23,Lisa,4/3/18,0,FALSE,Stafford
johnhouse,875,2055.1,Employee,Fun!23,John,4/29/18,0,FALSE,House
dustinoliver,288,5531.93,Employee,Fun!23,Dustin,5/1/18,0,TRUE,Oliver
akinyemiakinjayeju,43,13288.33,Employee,Fun!23,Akinyemi,5/21/18,0,FALSE,Akinjayeju
herculesdisney,33,5299.83,Customer,Fun!23,Hercules,6/16/18,0,TRUE,Disney
joseespinoza gonzalez,52,6918.51,Employee,Fun!23,Jose,6/19/18,0,TRUE,Espinoza Gonzalez
ryanmcconnell,300,6127.08,Employee,Fun!23,Ryan,6/28/18,0,TRUE,Mcconnell
lindaalexander,459,8428.8,Employee,Fun!23,Linda,7/7/18,0,FALSE,Alexander
michelleray,771,9664.68,Employee,Fun!23,Michelle,1/2/19,0,TRUE,Ray
michelleholland,128,3573.22,Employee,Fun!23,Michelle,1/29/19,0,FALSE,Holland
danawilliams,94,6817.43,Employee,Fun!23,Dana,3/7/19,0,TRUE,Williams
dorismercado,475,8498.83,Employee,Fun!23,Doris,4/10/19,0,TRUE,Mercado
brookemaxwell,1035,4899.55,Employee,Fun!23,Brooke,6/21/19,0,FALSE,Maxwell
keithortiz,188,11014.86,Employee,Fun!23,Keith,8/23/19,0,FALSE,Ortiz
leonardking,705,3339.07,Employee,Fun!23,Leonard,9/16/19,0,TRUE,King
victoriamoses,525,7275.92,Employee,Fun!23,Victoria,9/19/19,0,FALSE,Moses
susanalvarez,214,8031.66,Employee,Fun!23,Susan,9/21/19,0,TRUE,Alvarez
jamespittman,177,4500.11,Employee,Fun!23,James,9/23/19,0,TRUE,Pittman
craigschaefer,268,13442.45,Employee,Fun!23,Craig,11/7/19,0,TRUE,Schaefer
shawnlee,813,10821.38,Employee,Fun!23,Shawn,12/28/19,0,TRUE,Lee
thomaselliott,383,5735.63,Employee,Fun!23,Thomas,1/5/20,0,FALSE,Elliott
williamwolf,356,12372.13,Employee,Fun!23,William,1/23/20,0,FALSE,Wolf
emilyestes,810,12741.07,Employee,Fun!23,Emily,2/14/20,0,FALSE,Estes
kellyyu,223,7975.79,Employee,Fun!23,Kelly,3/9/20,0,FALSE,Yu
scottrose,399,7784.71,Employee,Fun!23,Scott,3/18/20,0,FALSE,Rose
geraldbaker,450,8280.34,Employee,Fun!23,Gerald,4/4/20,0,TRUE,Baker
lisayu,1023,3310,Employee,Fun!23,Lisa,5/4/20,0,TRUE,Yu
jasonskinner,460,12118.64,Employee,Fun!23,Jason,8/25/20,0,FALSE,Skinner
albertovillegas,87,3619.29,Employee,Fun!23,Alberto,12/6/20,0,FALSE,Villegas
rubenedwards,402,8497.03,Employee,Fun!23,Ruben,2/4/21,0,FALSE,Edwards
victoriamartin,152,8016.42,Employee,Fun!23,Victoria,2/28/21,0,FALSE,Martin
samanthathomas,437,4314.77,Employee,Fun!23,Samantha,4/20/21,0,TRUE,Thomas
sandrasutton,868,8832.72,Employee,Fun!23,Sandra,5/25/21,0,TRUE,Sutton
aliciamoran,816,14565.03,Employee,Fun!23,Alicia,6/5/21,0,TRUE,Moran
thomasbonilla,478,10657.63,Employee,Fun!23,Thomas,6/28/21,0,FALSE,Bonilla
sherriarmstrong,628,10954.82,Employee,Fun!23,Sherri,12/6/21,0,TRUE,Armstrong
stephanieobrien,799,10275.26,Employee,Fun!23,Stephanie,4/6/22,0,TRUE,Obrien
jamesking,123,8199.77,Employee,Fun!23,James,4/8/22,0,FALSE,King
elizabethtorres,754,7293.63,Employee,Fun!23,Elizabeth,6/29/22,0,TRUE,Torres
timothygreene,990,14385.64,Employee,Fun!23,Timothy,7/31/22,0,FALSE,Greene
reneebradley,113,2488.87,Employee,Fun!23,Renee,12/30/22,0,FALSE,Bradley
susanhumphrey,257,13515,Employee,Fun!23,Susan,2/16/23,0,FALSE,Humphrey
shawnsantos,996,14755.4,Employee,Fun!23,Shawn,3/30/23,0,FALSE,Santos
marycruz,292,2093.36,Employee,Fun!23,Mary,6/22/23,0,TRUE,Cruz
elizabethcruz,423,11955.03,Employee,Fun!23,Elizabeth,7/5/23,0,FALSE,Cruz
cynthiagiles,686,4374.01,Employee,Fun!23,Cynthia,9/9/23,0,FALSE,Giles
nicholasanderson,195,5080.43,Employee,Fun!23,Nicholas,10/5/23,0,FALSE,Anderson
douglashernandez,710,6676.97,Employee,Fun!23,Douglas,10/27/23,0,FALSE,Hernandez
cruellade vil,22,14678.39,Customer,Fun!23,Cruella,12/12/23,0,FALSE,De Vil
kellyjordan,724,6779.65,Employee,Fun!23,Kelly,1/4/24,0,TRUE,Jordan
joshuahickman,725,13684.53,Employee,Fun!23,Joshua,1/5/24,0,FALSE,Hickman
justinhawkins,895,8470.2,Employee,Fun!23,Justin,3/21/24,0,TRUE,Hawkins
ashleyromero,140,11534,Employee,Fun!23,Ashley,5/4/24,0,TRUE,Romero
michellemaldonado,192,13159.21,Employee,Fun!23,Michelle,5/31/24,0,FALSE,Maldonado
amybradley,309,4945.51,Employee,Fun!23,Amy,7/8/24,0,TRUE,Bradley
michaelmoran,159,6846.97,Employee,Fun!23,Michael,7/31/24,0,TRUE,Moran
marissaoconnell,311,9561.55,Employee,Fun!23,Marissa,12/31/24,0,FALSE,Oconnell
jose luisrojas,73,13282.93,Employee,Fun!23,Jose Luis,3/16/25,0,TRUE,Rojas
tyronealvarado,882,2071.35,Employee,Fun!23,Tyrone,3/25/25,0,FALSE,Alvarado
thomashall,709,8394.35,Employee,Fun!23,Thomas,5/11/25,0,FALSE,Hall
robertleblanc,572,13430.28,Employee,Fun!23,Robert,5/20/25,0,TRUE,Leblanc
andreramos,900,6374.36,Employee,Fun!23,Andre,5/29/25,0,FALSE,Ramos
colleenhall,793,14247.2,Employee,Fun!23,Colleen,8/3/25,0,TRUE,Hall
brandondillon,573,13941.5,Employee,Fun!23,Brandon,8/4/25,0,TRUE,Dillon
dennisreynolds,533,4885.82,Employee,Fun!23,Dennis,8/13/25,0,TRUE,Reynolds
michaelmccormick,738,7903.91,Employee,Fun!23,Michael,12/25/25,0,TRUE,Mccormick
sarahstanton,834,13200.19,Employee,Fun!23,Sarah,1/6/26,0,TRUE,Stanton
anitafletcher,753,2234.58,Employee,Fun!23,Anita,2/25/26,0,FALSE,Fletcher
victorharris,718,9693.39,Employee,Fun!23,Victor,5/20/26,0,TRUE,Harris
derekmacias,662,8722.79,Employee,Fun!23,Derek,7/11/26,0,TRUE,Macias
kaylamahoney,409,3362.52,Employee,Fun!23,Kayla,8/25/26,0,FALSE,Mahoney
samuelramossanchez,66,2330.73,Employee,Fun!23,Samuel,9/29/26,0,TRUE,RamosSanchez
mayrarobles,69,8649.54,Employee,Fun!23,Mayra,10/16/26,0,TRUE,Robles
deborahscott,456,12083.83,Employee,Fun!23,Deborah,12/3/26,0,FALSE,Scott
gailparker,141,14168.26,Employee,Fun!23,Gail,12/22/26,0,TRUE,Parker
natalierichardson,622,9591.17,Employee,Fun!23,Natalie,12/27/26,0,TRUE,Richardson
chadgreen,822,4278.12,Employee,Fun!23,Chad,12/28/26,0,FALSE,Green
joannaknight,649,14532.85,Employee,Fun!23,Joanna,2/11/27,0,FALSE,Knight
tamiweaver,509,3078.42,Employee,Fun!23,Tami,6/7/27,0,FALSE,Weaver
laurasmith,308,14781.4,Employee,Fun!23,Laura,6/17/27,0,TRUE,Smith
stevenhernandez,511,11784.04,Employee,Fun!23,Steven,6/21/27,0,TRUE,Hernandez
raymondwoodward,435,6008.6,Employee,Fun!23,Raymond,7/5/27,0,FALSE,Woodward
hectorwhitney,790,13620.04,Employee,Fun!23,Hector,8/28/27,0,TRUE,Whitney
caseynavarro,812,4981.31,Employee,Fun!23,Casey,9/26/27,0,FALSE,Navarro
ashleymagallanes,60,3828.39,Employee,Fun!23,Ashley,10/18/27,0,TRUE,Magallanes
mollycohen,205,11722.38,Employee,Fun!23,Molly,10/27/27,0,FALSE,Cohen
brandidaniel,814,10082.62,Employee,Fun!23,Brandi,11/21/27,0,FALSE,Daniel
christianellis,867,13161.68,Employee,Fun!23,Christian,12/1/27,0,TRUE,Ellis
buzzlightyear,17,2813.51,Customer,Fun!23,Buzz,12/2/27,0,TRUE,Lightyear
dylanharris,156,5319.14,Employee,Fun!23,Dylan,2/6/28,0,FALSE,Harris
elizabethmedina,998,10980.88,Employee,Fun!23,Elizabeth,2/18/28,0,FALSE,Medina
jeffreymarquez,246,13535.26,Employee,Fun!23,Jeffrey,2/23/28,0,TRUE,Marquez
angelaenglish,1033,11306.25,Employee,Fun!23,Angela,2/27/28,0,TRUE,English
jafaraladdin,18,12841.85,Customer,Fun!23,Jafar,3/16/28,0,FALSE,Aladdin
juliayoung,700,8571.27,Employee,Fun!23,Julia,6/28/28,0,FALSE,Young
jenniferhuang,904,6679,Employee,Fun!23,Jennifer,9/16/28,0,TRUE,Huang
jamesromero,264,14942.97,Employee,Fun!23,James,9/26/28,0,FALSE,Romero
lauriejohnson,855,11631.89,Employee,Fun!23,Laurie,10/18/28,0,TRUE,Johnson
jessicaolsen,538,12279.81,Employee,Fun!23,Jessica,10/25/28,0,FALSE,Olsen
brandoncartwrightli,47,10397.59,Employee,Fun!23,Brandon,11/9/28,0,TRUE,CartwrightLi
edwardhernandez,143,2434.19,Employee,Fun!23,Edward,11/17/28,0,TRUE,Hernandez
angelacarney,744,3467.53,Employee,Fun!23,Angela,1/26/29,0,FALSE,Carney
susanhill,161,4188.44,Employee,Fun!23,Susan,2/3/29,0,FALSE,Hill
annrogers,820,12803.39,Employee,Fun!23,Ann,2/11/29,0,FALSE,Rogers
danielsummers,949,14119.39,Employee,Fun!23,Daniel,3/8/29,0,TRUE,Summers
simbadisney,12,10711.61,Customer,Fun!23,Simba,3/23/29,0,TRUE,Disney
melissarivera,326,2526.9,Employee,Fun!23,Melissa,3/23/29,0,TRUE,Rivera
franciscovazquez,85,13433.73,Employee,Fun!23,Francisco,4/13/29,0,FALSE,Vazquez
chelseagallagher,109,2319.2,Employee,Fun!23,Chelsea,8/2/29,0,TRUE,Gallagher
brendanphillips,911,2967.64,Employee,Fun!23,Brendan,8/31/29,0,FALSE,Phillips
enriquemunoz,62,6240.55,Employee,Fun!23,Enrique,9/7/29,0,TRUE,Munoz
samuelharrington,175,7895.16,Employee,Fun!23,Samuel,10/15/29,0,FALSE,Harrington
laurenhall,282,3539.02,Employee,Fun!23,Lauren,11/18/29,0,TRUE,Hall
jessicamartin,255,7449.28,Employee,Fun!23,Jessica,12/29/29,0,TRUE,Martin
jorgehaley,722,9448.61,Employee,Fun!23,Jorge,2/1/30,0,FALSE,Haley
jenniferwilliams,163,14445.11,Employee,Fun!23,Jennifer,4/18/30,0,TRUE,Williams
theresaclark,580,6613.62,Employee,Fun!23,Theresa,4/27/30,0,FALSE,Clark
robertwilson,359,12987.33,Employee,Fun!23,Robert,8/6/30,0,FALSE,Wilson
dawnking,283,4303.58,Employee,Fun!23,Dawn,8/8/30,0,TRUE,King
kimberlyrichardson,183,12365.4,Employee,Fun!23,Kimberly,9/21/30,0,TRUE,Richardson
amberbrown,360,2654.24,Employee,Fun!23,Amber,11/8/30,0,FALSE,Brown
kimberlymiller,933,9813.02,Employee,Fun!23,Kimberly,11/24/30,0,FALSE,Miller
peterpan,15,12861.4,Customer,Fun!23,Peter,12/26/30,0,TRUE,Pan
johnjones,731,5201.61,Employee,Fun!23,John,3/17/31,0,TRUE,Jones
